phrog	color	annot	category
1	#fea328	integrase	integration and excision
2	#3e83f6	terminase large subunit	head and packaging
3	#a861e3	transcriptional repressor	transcription regulation
4	#a861e3	transcriptional repressor	transcription regulation
5	#35d7ff	tail completion or Neck1 protein	connector
6	#07e9a2	baseplate wedge subunit	tail
7	#f35f49	endolysin	lysis
8	#a861e3	transcriptional regulator	transcription regulation
9	#3e83f6	terminase large subunit	head and packaging
10	#3e83f6	major head protein	head and packaging
11	#07e9a2	baseplate spike	tail
12	#3e83f6	portal protein	head and packaging
13	#f35f49	Rz-like spanin	lysis
14	#07e9a2	minor tail protein	tail
15	#3e83f6	terminase large subunit	head and packaging
16	#ffdf59	DNA helicase	DNA, RNA and nucleotide metabolism
17	#ffdf59	DNA polymerase	DNA, RNA and nucleotide metabolism
18	#07e9a2	minor tail protein	tail
19	#ffdf59	DnaB-like replicative helicase	DNA, RNA and nucleotide metabolism
20	#f35f49	holin	lysis
21	#3e83f6	portal protein	head and packaging
22	#ffdf59	thioredoxin domain	DNA, RNA and nucleotide metabolism
23	#07e9a2	tail sheath	tail
24	#07e9a2	tail length tape measure protein	tail
25	#35d7ff	head closure Hc1	connector
26	#35d7ff	tail completion or Neck1 protein	connector
27	#35d7ff	tail completion or Neck1 protein	connector
28	#07e9a2	tail length tape measure protein	tail
29	#3e83f6	major head protein	head and packaging
30	#07e9a2	minor tail protein	tail
31	#07e9a2	central tail fiber J	tail
32	#07e9a2	tail assembly protein	tail
33	#07e9a2	distal tail protein Dit	tail
34	#ffdf59	RusA-like Holliday junction resolvase	DNA, RNA and nucleotide metabolism
35	#a861e3	transcriptional repressor	transcription regulation
36	#a861e3	transcriptional regulator	transcription regulation
37	#35d7ff	tail terminator	connector
38	#3e83f6	terminase large subunit	head and packaging
39	#07e9a2	tail assembly protein	tail
40	#35d7ff	head-tail adaptor Ad1	connector
41	#07e9a2	major tail protein	tail
42	#07e9a2	minor tail protein	tail
43	#07e9a2	baseplate wedge subunit	tail
44	#ffdf59	single strand DNA binding protein	DNA, RNA and nucleotide metabolism
45	#07e9a2	tail tube	tail
46	#07e9a2	baseplate hub	tail
47	#ffdf59	DNA primase	DNA, RNA and nucleotide metabolism
48	#07e9a2	tail protein	tail
49	#3e83f6	head decoration	head and packaging
50	#ffdf59	DnaC-like helicase loader	DNA, RNA and nucleotide metabolism
51	#3e83f6	terminase small subunit	head and packaging
52	#07e9a2	tail protein	tail
53	#3e83f6	head maturation protease	head and packaging
54	#838383	DksA-like zinc-finger protein	other
55	#35d7ff	head closure	connector
56	#838383	DNA methyltransferase	other
57	#3e83f6	terminase small subunit	head and packaging
58	#07e9a2	tail length tape measure protein	tail
59	#ffdf59	HNH endonuclease	DNA, RNA and nucleotide metabolism
60	#c9c9c9	NA	unknown function
61	#ff59f5	2OG-Fe(II) oxygenase	moron, auxiliary metabolic gene and host takeover
62	#ffdf59	DNA helicase	DNA, RNA and nucleotide metabolism
63	#a861e3	anti-repressor Ant	transcription regulation
64	#3e83f6	portal protein	head and packaging
65	#35d7ff	tail terminator	connector
66	#fea328	excisionase and transcriptional regulator	integration and excision
67	#838383	DNA methyltransferase	other
68	#3e83f6	portal protein	head and packaging
69	#ffdf59	exonuclease	DNA, RNA and nucleotide metabolism
